소분류,바코드,제품명,제조사,유통기한,소비기한-유통기한
육류,8809398780844,마메든 돼지양념갈비 순한맛,(주)두루,10,180.0
소시지,8801123309801,에센비엔나,롯데제과(주),30,7.0
햄,8809303040025,훈제닭가슴살 스테이크,유엔푸드(주),60,7.0
햄,8809185829206,맛있는 명사족발 슬라이스,주식회사 달솔,15,7.0
육류,8801052043845,안주야 직화불막창,대상(주) 단양2공장,360,180.0
육류,8809365661084,고구마헬씨케밥,(주)야미식스,15,180.0
육류,8809625430047,소양념갈비,농업회사법인 (주)미트홈,10,180.0
우유,8801526132709,하루종일 굿모닝 굿밀크,부산경남우유협동조합,16,45.0
육류,8809635350755,본가집 불닭다리,농업회사법인 리베로인터내셔날(주),1,180.0
소시지,8801123310753,의성마늘 직화구이 나눠바,롯데제과(주),40,7.0
육류,8809408250831,닭안심꼬치,(주)마루종합식품,214,180.0
두부,8809292783095,자연의선 고소한 두부 340,(주)강릉최가두부,15,90.0
햄,8803784001254,잠봉(Jambon),농업회사법인 (주)대경햄,40,7.0
어묵,8809265021445,잡채어묵,(주)늘푸른바다,60,3.0
김치,8801024110155,묵은지,대상(주)횡성공장,180,180.0
우유,8801844310704,알뜰한 우유,학교법인건국대학교건국유업.건국햄,18,45.0
육류,8809452090650,오매불망 북성로연탄양념불고기,다미설,365,180.0
육류,8809430221113,이베리코스테이크갈비살,(주)케이프라이드,360,180.0
김치,8805588001423,조선호텔 깍두기,(주)조선호텔앤리조트김치,120,180.0
김치,8809545090307,명가맛김치,(주)명가식품,150,180.0
어묵,8809610130105,튀김어묵,(주)보람식품,12,3.0
소시지,8809303040780,더슬림한닭가슴살소시지불갈비맛,(주)에스앤비푸드 농업회사법인,45,7.0
육류,8809653000021,중앙닭강정 순살달콤한맛,(주)더네이비플레이트,4,180.0
육류,8809557430801,돼지갈비양념구이,이수한우 영농조합법인,360,180.0
육류,8801492366894,춘천식 닭갈비 매운맛,(주)하림 정읍공장,10,180.0
소시지,8809303040711,오쿡닭가슴살소시지 야채깻잎맛,(주)에스앤비푸드 농업회사법인,45,7.0
육류,8809731560003,전통편육,태영식품,60,180.0
치즈,8809548110040,강훈목장 구워먹는 그릴치즈,강훈영농조합법인,60,70.0
햄,8809248070965,상건 큐브 스테이크 훈제오리,(주)대신푸드글로벌,720,7.0
육류,8809228683369,달콤한오리불고기 매콤한맛,(주)이목원,10,180.0
육류,8809430221489,양념목심구이,(주)케이프라이드,10,180.0
두부,8809104640004,민속식품-판두부,내포연식품,1,90.0
육류,8809990136902,왕족발,족발명가,45,180.0
육류,8809732340062,초벌돼지막창,(주)달구지푸드,360,180.0
햄,8809767080001,하몽 드 탐라 블랙,농업회사법인 풍강 주식회사,365,7.0
육류,8809513750059,신화로오돌뼈(매운맛),(주)대송,60,180.0
육류,8809428460746,훈제막창,농업회사법인 주식회사 코리아식품,360,180.0
육류,8809488150106,순한S라인불닭발,(주)원앙에프엔비,360,180.0
육류,8809408251135,닭다리살꼬치,(주)마루종합식품,214,180.0
김치,8809574672895,아삭김치 포기김치,(주)아워홈,30,180.0
육류,8809677410158,밥한공기 불닭볶음,(주)프랜푸드,10,180.0
육류,8809706580005,쇠고기 스튜,할랄푸드스,1095,180.0
어묵,8809554260012,맛뜰안 아삭한어묵,(주)맛뜰안식품,720,3.0
김치,8809334526574,맛김치(국산),농업회사법인주식회사담채원,365,180.0
육류,8809601190057,양념돼지순수왕구이,(주)더엘미트,15,180.0
육류,8803103000821,닭껍질 튀김,주식회사 상도푸드 농업회사법인,360,180.0
묵,8809292783439,우무채,천혜식품,90,0.0
육류,8809333830085,노나먹계 양념갈비 매콤한맛,영농조합법인 제주동원,7,180.0
육류,8809269440068,죽순오리불고기(고추장맛),유한회사 믿음식품,360,180.0
육류,8809269770431,돼지주물럭,푸드스토아,15,180.0
육류,8804316000448,골든 텐더스틱,(주)체리푸드,360,180.0
육류,8809566730060,참숯으로 구운 직화 불돼지껍데기,농업회사법인 씨앤엠(주),365,180.0
육류,8809398780769,마메든 돼지양념갈비 순한맛,(주)두루,10,180.0
김치,8809579000150,총각김치,대원식품,150,180.0
육류,8809383601185,제주식 멜젓 삼겹살,(주)미소담은,15,180.0
어묵,8801333000024,크랩맛(味) 후레쉬 청크,성진수산(주),720,3.0
육류,8809589780172,돼지 왕구이,(주)농부,360,180.0
소시지,8809335380021,닭가슴살소시지 숯불갈비맛,(주)허스델리,40,7.0
우유,8809194168860,맛있는 유기농 우유,범산목장,12,45.0
김치,8801024956678,종가집 어린이 한입 백김치,대상(주)거창공장,45,180.0
치즈,8809027820972,네츄럴(I00),델리치푸드(주),90,70.0
묵,8809560091327,곤약이면 메밀냉면,농업회사법인(유)아리랑식품,180,0.0
육류,8809625920173,글로벌 꿀맛돼지불고기(냉동),농업회사법인 글로벌푸드 주식회사,360,180.0
육류,8809408251487,닭떡꼬치,(주)마루종합식품,214,180.0
묵,8809051710607,청포묵,설악식품,3,0.0
햄,8809254540087,오빠닭 프레시업 슬라이스 닭가슴살 훈제,농업회사법인(주)다영푸드,360,7.0
묵,8809592260036,웃음이피어나는식품 도토리묵,웃음이피어나는 식품,20,0.0
치즈,8809543810181,베따르망 구워먹는 치즈,베따르망,30,70.0
우유,8801121768136,소화가 잘되는 우유 오리지널,매일유업(주) 광주공장,112,45.0
치즈,8809146270535,킹치즈(K치즈),(주)네오스푸드시스템,90,70.0
햄,8809385945393,참프레 순수 허브 가슴살,(주)참프레,30,7.0
햄,8809331507866,아워홈 참나무향 그윽한 닭가슴살,주식회사 아워홈,36,7.0
김치,8809421942195,열무김치,(주)아워홈,180,180.0
햄,8809361223057,훈제통닭,노랑오리농업회사법인(주),40,7.0
치즈,8809623800101,감성목장 그릴드치즈 어니언,감성유가공 (영),30,70.0
육류,8809337220509,오븐에 꾸운 서라벌돼지막창,(주)서라벌푸드,360,180.0
소시지,8809576073560,베스트코 불고기맛소시지,(주)미트벨리,10,7.0
육류,8809228683383,달콤한오리불고기 매콤한맛,(주)이목원,10,180.0
육류,8801052043876,안주야 매콤두루치기,대상(주) 단양2공장,360,180.0
묵,8809186383110,찰진도토리묵,농업회사법인 한생 주식회사 종천공장,30,0.0
육류,8809513750011,화양념곱창,(주)대홍 농업회사법인,10,180.0
육류,8809627300027,매콤한맛 닭가슴살,주식회사 코코푸드,360,180.0
김치,8809631920204,도들샘포기김치,(주)도들샘,60,180.0
어묵,8801066057487,빅바,(주)사조대림,35,3.0
햄,8809361223088,오리 훈제 슬라이스,노랑오리농업회사법인(주),40,7.0
어묵,8801114143933,어묵가라아게,(주)남부식품,15,3.0
육류,8809344630766,오향족발슬라이스,(주)토자연,60,180.0
소시지,8809581170131,애돈인 돈워리 비엔나 소시지,땅끝애돈영농조합법인,40,7.0
우유,8801121768143,소화가 잘되는 우유 오리지널,매일유업(주) 광주공장,112,45.0
육류,8809396131365,맛의명가 반월 소대창,주식회사 달구벌명가식품,365,180.0
육류,8809389381081,돼지양념갈비,애플푸드,10,180.0
육류,8809037249541,한양매운양념돼지껍데기,한양제너럴푸드,60,180.0
육류,8809530770047,이담무뼈닭발,이담,360,180.0
묵,8809045480028,동부묵,한양식품,10,0.0
햄,8809350311239,저염수비드닭가슴살,(주)햇살푸드시스템,360,7.0
소시지,8801052030982,청정원 참나무로 훈연한 그릴부어스트,대상델리하임 주식회사,40,7.0
햄,8809409701301,훈제 닭가슴살,농업회사법인 하담푸드(주),360,7.0
육류,8809698180146,특양구이,주식회사 대건에프앤씨,360,180.0
소시지,8801066020542,하우스 그릴 부어스트,(주)사조대림,45,7.0
햄,8809708240082,스팀 닭가슴살 갈릭맛,(주)아라푸드,15,7.0
육류,8809361223118,시골집왕구이,농업회사법인 옐로우팜주식회사,360,180.0
소시지,8803712146224,혼신못말리는청춘소시지는잘말려,(주)구스베,180,7.0
소시지,8803556818868,불고기맛후랑크,(주)사조오양 양산공장,45,7.0
육류,8809732340154,마늘양념 돼지꼬리,(주)달구지푸드,360,180.0
육류,8809185829305,야무진내장,주식회사 달솔,7,180.0
두부,8801007335575,두가지로 제대로 단단한 국산콩 두부 부침용,씨제이제일제당(주),21,90.0
육류,8809521180541,야식지존 직화 매운 무뼈닭발(화끈하게매운맛),다솔푸드,360,180.0
어묵,8809554260128,맛뜰안 매운어묵,(주)맛뜰안식품,720,3.0
육류,8809521180336,직화구이 미녀 오돌갈비,다솔푸드,360,180.0
육류,8809440360772,도가니탕용,주식회사 엔지엠,30,180.0
햄,8809409700748,닭가슴살,농업회사법인 하담푸드(주),360,7.0
육류,8809344631268,미니족발,(주)토자연,60,180.0
육류,8809459140259,무안양파닭갈비,(주)금화,365,180.0
어묵,8803404001657,매콤어묵,(주)효성어묵,720,3.0
육류,8809582010023,염고집 수원 염포고추장불고기,유한회사 농업회사법인 새림,365,180.0
김치,8809657780097,열무김치,농업회사법인주식회사해오름식품,90,180.0
소시지,8809574674516,닭가슴살맛 바 (레드&그린),(주)아워홈,40,7.0
어묵,8809012475019,두부연어묵,(주)자연이준식품,15,3.0
어묵,8809265020158,꼬치어묵,(주)늘푸른바다,720,3.0
햄,8809253901292,허브를 담은 정다운 훈제오리,(주)정다운 훈제공장,40,7.0
육류,8809419950805,오븐에 구운 순살 바베큐,하성에프앤비,360,180.0
육류,8809655840045,건하찌 한우곱창,(주)미르스타에프엔디,365,180.0
두부,8801114149324,한끼연두부,풀무원식품(주),20,90.0
어묵,8809541570933,탱탱어묵탕,(주)둥지식품,360,3.0
김치,8809462040478,진경백김치,주식회사모산F/S,60,180.0
육류,8809697410114,도도한 뽈항정고추장석쇠불고기,태민푸드,360,180.0
육류,8809415630305,고추장 불고기,(주)한쿡푸드,10,180.0
소시지,8809610650115,임실N치즈 소시지,(주)친한 F&B,40,7.0
육류,8803006001260,직화구이 火통닭다리살,하성에프앤비,360,180.0
우유,8801844180277,착한목장 우유,학교법인건국대학교건국유업.건국햄,15,45.0
두부,8802015113100,국산콩으로 진하게 갈아 만든 순두부,(주)오성식품,15,90.0
육류,8809677410110,닭 통구이,(주)프랜푸드,10,180.0
두부,8809084888823,성동두부,성동식품,13,90.0
육류,8809343351778,맛기픈주물럭용,(주)고향미트,15,180.0
어묵,8803404001053,야채사각,(주)효성어묵,720,3.0
김치,8809078821171,오이소박이,(주)녹선,90,180.0
치즈,8809606200027,해늘찬구워먹는치즈,해늘찬치즈,60,70.0
두부,8809500400004,박父子손두부,영농조합법인 박부자네식품,15,90.0
치즈,8801155835187,인포켓치즈 오리지널,(주)동원에프앤비 강진공장,360,70.0
육류,8809381671128,Largo Kitchen Spicy Chicken,성신식품,60,180.0
육류,8809252520678,팔도진미 대구북성로식 숯불양념목심구이,(주)청담원,13,180.0
육류,8809430223193,양념돼지갈비,(주)케이프라이드,10,180.0
육류,8809990018703,S 레이디 불닭발,주식회사 그린식품,60,180.0
햄,8809350311260,페퍼콘스팀닭가슴살,(주)햇살푸드시스템,360,7.0
육류,8809645660622,더 맛있는 한입갈비,쉐프파트너(주),10,180.0
베이컨,8801563000023,베이컨,(주)일양웰푸드,270,0.0
육류,8809408252163,닭날개꼬치,(주)마루종합식품,214,180.0
김치,8803847002181,배추김치,(주)나래식품,45,180.0
김치,8809776970126,총각김치,명가식품,120,180.0
어묵,8809554260425,오마뎅 소시지말이어묵,(주)부산세광식품,360,3.0
육류,8809408251746,닭껍질꼬치,(주)마루종합식품,214,180.0
소시지,8809694500207,할랄네즈나야소시지,주식회사 코리아바라카텁,90,7.0
육류,8801045931036,오감포차 직화닭발,하성에프앤비,360,180.0
소시지,8801123310333,의성마늘 빅그릴비엔나,롯데제과(주),30,7.0
육류,8809385880458,서산6쪽마늘간장불고기,농업회사법인 주식회사 이든밥상,360,180.0
어묵,8809265021766,문어어묵,(주)늘푸른바다,60,3.0
육류,8809381671302,신선도원 마늘송송 닭똥집,성신식품,60,180.0
육류,8809408252156,닭염통꼬치,(주)마루종합식품,214,180.0
육류,8809491400496,오 프라이스 직화로 구워 불맛살린 무뼈닭발,크레팜주식회사,330,180.0
육류,8809759260121,불막창,주식회사 신우식품,360,180.0
우유,8801121759424,ORGANIC 유기농 우유 ORGANIC MILK,매일유업(주) 광주공장,180,45.0
베이컨,8801007185989,The더건강한베이컨,씨제이제일제당(주),25,0.0
육류,8804316000462,골든 후라이드치킨,(주)체리푸드,360,180.0
어묵,8809687190217,단백질 가래떡 어묵바,(주)새난,360,3.0
육류,8809665310422,닭산적,(주)비젼식품,365,180.0
베이컨,8809566080240,훈제삼겹바베큐,영농조합법인 시.케이.푸드,45,0.0
육류,8809343352034,양념숯불구이용,(주)고향미트,15,180.0
소시지,8801077615409,알뜰주부 진주줄줄이,(주)진주햄,35,7.0
육류,8809531530220,소곱창전골,주식회사 해담솔푸드,365,180.0
소시지,8809551480109,닭가슴살소시지 고추맛,(주)진한에프에스 데이원지점,360,7.0
소시지,8801123309344,의성마늘비엔나,롯데제과(주),30,7.0
육류,8809724720094,양만이 참숯직화 불곱창,(유)호식식품,360,180.0
소시지,8801492367631,하얀속살후랑크,(주)하림,40,7.0
육류,8809408251548,닭모래집튀김,(주)마루종합식품,270,180.0
김치,8809623830672,총각김치,쉐프윤쿠킹푸드,30,180.0
육류,8809313258830,꼬꼬양념닭갈비 / 냉장,(주)중앙식품,7,180.0
우유,8801189202009,신선하고 깨끗한 참 맛있는 우유,(주)비락 대구공장,15,45.0
육류,8809531530329,빨간석쇠구이양념무뼈닭발,주식회사 해담솔푸드,365,180.0
소시지,8809425610328,모닝 수제 모듬소시지,(주)모닝에프디,45,7.0
어묵,8803404001497,행복가득세트,(주)효성어묵,50,3.0
김치,8809411121777,열우물 동치미,농업회사법인 이정 주식회사,360,180.0
육류,8809563420353,직화불막창,농업회사법인(주)대광,360,180.0
치즈,8809524630081,피자치즈,(주)이스트밸리,90,70.0
햄,8809490230063,훈제닭가슴살,농업회사법인(주)서동물산,80,7.0
육류,8809247960342,자메이카 오븐구이,(주)동해식품,360,180.0
육류,8809682940176,족만이 보쌈,페이비,90,180.0
햄,8809254540063,오빠닭 프레시업 슬라이스 닭가슴살 칠리맛,농업회사법인(주)다영푸드,360,7.0
우유,8809647070078,팜인 친환경 유기농 우유,팜인(Farm 人),11,45.0
육류,8809650480468,허브 닭가슴살,이유푸드(주),360,180.0
육류,8809560150109,푸딩곰탕고기,에프앤씨진국,720,180.0
육류,8809759260046,불곱창,주식회사 신우식품,360,180.0
묵,8809137260019,도토리묵,하나식품,5,0.0
육류,8809408251494,매운닭발꼬치,(주)마루종합식품,214,180.0
어묵,8803404001763,수제 야채도톰,(주)효성어묵,12,3.0
육류,8809442100994,양념불닭,(주)다우린,360,180.0
소시지,8809669351506,한입쏙핫도그용소시지,(주)미토리,30,7.0
두부,8809693120017,콩두부세상,광주남구지역자활센터유기농과콩두부세상,7,90.0
묵,8809239150058,산들해 도토리묵팩,신정식품,12,0.0
어묵,8801066500198,게맛살 큰잔치,(주)사조오양금산공장,40,3.0
어묵,8801066106048,야채시대 김밥어묵,(주)사조대림,13,3.0
소시지,8801227160476,톡소시지,(주)사조오양 양산공장,45,7.0
치즈,8809372960248,임실N구워먹는치즈,밸리애,60,70.0
육류,8809471700448,천해무초사골양념닭갈비,아산유통,360,180.0
육류,8809366355142,오돌뼈,(주)달구지푸드,360,180.0
소시지,8809694500177,오리 카지,주식회사 코리아바라카텁,90,7.0
치즈,8809524630227,신선도원 슈레드 모짜렐라 피자치즈,(주)이스트밸리,90,70.0
육류,8809684790038,언제나 돼지 양념구이,(주)청푸드,15,180.0
치즈,8809027821030,네츄럴(M08),델리치푸드(주),90,70.0
육류,8809655470006,앵거스박 블랙앵거스 소왕구이,주식회사 아이탐푸드,60,180.0
김치,8809685580010,총각김치,오미식품,50,180.0
김치,8809659540101,송오당 열무김치,(주)송오당김치,30,180.0
치즈,8809610420077,디어팜 스트링치즈,농업회사법인 (주)진영,31,70.0
소시지,8801047577898,동원통그릴비엔나,(주)동원F&B,45,7.0
두부,8809335800161,미세스 조 두부,알찬식품,15,90.0
어묵,8809265023616,모둠 간식용어묵,(주)늘푸른바다,60,3.0
육류,8809677410073,불갈비 A,(주)프랜푸드,360,180.0
육류,8809228801138,고추장양념돼지불고기,주식회사 선농생활,7,180.0
육류,8809604680180,3대천왕 동인동 찜갈비,한솔식품,360,180.0
치즈,8809684420157,다만목장 유기농 구워먹는 치즈,다만목장,60,70.0
두부,8801114101568,국산콩순두부,주식회사 피피이씨춘천,20,90.0
육류,8809179491440,영구포차 치즈불닭,(주)후드원,360,180.0
육류,8809571730000,추쉐프 굿쌈 매콤한맛,농업회사법인 주식회사 연승푸드,30,180.0
육류,8809589780196,돼지 왕구이,(주)농부,360,180.0
치즈,8809027820170,네츄럴(G06),델리치푸드(주),90,70.0
육류,8809366355074,화끈한돼지불막창,(주)달구지푸드,360,180.0
김치,8809505850163,0.8 프리미엄 총각김치,대원푸드 농업회사법인 주식회사,180,180.0
어묵,8803404001947,종합,(주)효성어묵,720,3.0
치즈,8809524630449,모짜렐라 피자치즈,(주)이스트밸리,90,70.0
어묵,8803404002937,매콤모둠,(주)효성어묵,720,3.0
어묵,8809694780012,고급 모듬어묵전골,곰살어묵,360,3.0
육류,8809701860003,황기품은 순살족발,(주)왕선사람들,60,180.0
소시지,8801007714066,그릴후랑크오리지널소시지,씨제이제일제당(주),41,7.0
육류,8809366355135,오븐에구운대구막창,(주)달구지푸드,360,180.0
어묵,8809265024064,프리미엄 어묵바,(주)늘푸른바다,60,3.0
육류,8809449150077,흑돼지 LA형양념갈비,지리산산골흑돼지농업회사법인주식회사,365,180.0
육류,8809807620020,와룡 훈제양념곱창,주식회사 와룡식품,365,180.0
육류,8809269770806,양념돼지찜갈비,푸드스토아,15,180.0
묵,8809261140225,클로렐라묵,(주)맑은해오름,7,0.0
소시지,8803712128435,주부9단 프랑크소시지,(주)농협목우촌,40,7.0
육류,8809488150151,뼈없는매콤S라인양념구이불닭발,(주)원앙에프엔비,360,180.0
김치,8809331504865,아삭 포기김치,(주)아워홈,60,180.0
육류,8809415630428,양념 돼지구이,(주)한쿡푸드,10,180.0
김치,8809411121760,열우물 동치미,농업회사법인 이정 주식회사,360,180.0
햄,8809409701066,쿠스치킨 뷰티,농업회사법인 하담푸드(주),360,7.0
육류,8809610450142,댓잎양념구이,(주)더비앤비푸드,360,180.0
소시지,8801123310418,롯데햄 라퀴진 에센부어스트,롯데제과(주) 김천공장,30,7.0
육류,8809429210029,진미락 소알곱창,(주)육육푸드,360,180.0
육류,8809778750177,수비드양념닭갈비,주식회사 세원에프에스,30,180.0
햄,8809409701004,훈제 닭가슴살,농업회사법인 하담푸드(주),360,7.0
김치,8809665559333,썰은 배추김치,(주)아워홈,30,180.0
육류,8809767600032,보스턴버트 스테이크,농업회사법인(주)엠브이푸드,14,180.0
햄,8809228683932,안심오리바비큐,(주)이목원,45,7.0
김치,8801024956654,종가집 어린이 한입 배추김치,대상(주)거창공장,45,180.0
어묵,8802249601534,종합어묵,(주)남부식품,10,3.0
육류,8809590010046,규스지,주식회사 프로컷,360,180.0
소시지,8809430220406,불고기맛소시지,(주)케이프라이드,360,7.0
육류,8809653780114,양념오리불고기,농업회사법인 주식회사 대세,360,180.0
우유,8801157900951,후디스 자연숨우유,일동후디스(주)횡성유가공공장,15,45.0
육류,8809571640651,염통,창안,730,180.0
햄,8809216730679,SMOKEDELI 훈제목심,(주)팜덕,45,7.0
육류,8809408250046,닭다리살꼬치,(주)마루종합식품,214,180.0
육류,8809571730017,추쉐프 굿쌈 순한맛,농업회사법인 주식회사 연승푸드,30,180.0
소시지,8809610650283,친한N소시지 임실N치즈,(주)친한 F&B,40,7.0
육류,8809379740836,푸건쫄깃한편육,주식회사푸건식품,30,180.0
우유,8801207101079,파스퇴르우유 저지방,롯데제과(주)파스퇴르공장,13,45.0
육류,8809408251050,닭날개꼬치,(주)마루종합식품,214,180.0
소시지,8803712121450,주부9단 통그릴비엔나,(주)사조오양 평택공장,30,7.0
소시지,8801052034560,요리쿡 비엔나,대상델리하임 주식회사,30,7.0
육류,8809683450117,모둠내장슬라이스B(냉동),주원푸드(주),720,180.0
육류,8809590010008,규스지,주식회사 프로컷,360,180.0
육류,8809706240046,소곱창,재부푸드시스템,360,180.0
어묵,8803404003378,맛살바(냉동),(주)효성어묵,720,3.0
육류,8809729170023,만능닭불고기,(주)미르스타푸드,20,180.0
김치,8809414460682,썰은포기김치,평창꽃순이,365,180.0
치즈,8801121759561,HANARO굿 슈레드 모짜렐라 치즈,매일유업(주)상하공장,90,70.0
육류,8809142208419,굽닭닭다리,(주)올품,10,180.0
베이컨,8801007085029,크레잇베이컨,씨제이제일제당(주),181,0.0
두부,8809990136612,물골안참영양두부,농업회사법인 물골안에프엔비주식회사,14,90.0
소시지,8809610650313,꼭이닭 닭가슴살 소시지 임실치즈,(주)친한 F&B,40,7.0
어묵,8809673760073,스팀피쉬 청양고추맛,(주)대광에프앤씨,360,3.0
육류,8809031026438,올계 유기농 고추장닭갈비,주식회사 올계 농업회사법인,7,180.0
육류,8809415630541,양념 돼지주물럭,(주)한쿡푸드,10,180.0
햄,8809148794794,참나무훈제닭다리,(주)케이지프레시,45,7.0
소시지,8809694500221,할랄소시지치즈,주식회사 코리아바라카텁,90,7.0
햄,8809631081899,바로숯불바베큐치킨불닭맛,성화푸드,365,7.0
김치,8809694201432,갓김치,영농조합법인 소생로컬푸드,30,180.0
소시지,8809694500214,할랄실비친나야소시지,주식회사 코리아바라카텁,90,7.0
소시지,8809570010004,굽네 슬림포켓 닭가슴살 스틱 갈릭,(주)에스피씨삼립 서천공장,90,7.0
김치,8809665558909,이남김치 깍두기,(주)아워홈,60,180.0
두부,8809358460120,생명물두부 국산콩 생식찌개용,신앙촌소비조합주식회사,14,90.0
육류,8809411052187,수입소양념불고기,주식회사 우보식품,15,180.0
육류,8809535940476,직화불막창,농업회사법인 주식회사 제이원푸드,360,180.0
육류,8809269770103,제주왕구이,푸드스토아,15,180.0
김치,8809505850255,0.8 프리미엄  배추김치,대원푸드 농업회사법인 주식회사,180,180.0
육류,8809777610182,한라담 제육불고기,주식회사 디딤,365,180.0
소시지,8809425610199,모둠소시지,(주)모닝에프디,45,7.0
육류,8809008889509,新매운닭모둠꼬치,(주)그린,180,180.0
육류,8809343351716,맛기픈소불고기,(주)고향미트,15,180.0
육류,8809662980390,주당맛집 무뼈 불닭발,주식회사 그린식품,60,180.0
치즈,8809493210307,화이트 피자치즈 A(에이),매일유업(주)상하공장,90,70.0
육류,8809698180061,소염통,주식회사 대건에프앤씨,360,180.0
육류,8809347060034,포차통뼈닭발보통맛,제이에스푸드,360,180.0
김치,8801024140404,종가집 오래오래 맛있는 총각김치,대상(주)횡성공장,45,180.0
육류,8809670630126,갈비맛 닭갈비,(주)마이,360,180.0
두부,8801448282629,농협 국산콩두부 부침용,안동농협 더햇식품사업소,25,90.0
김치,8809694201630,짜작열무김치,영농조합법인 소생로컬푸드,30,180.0
육류,8809385880465,더덕고추장불고기,농업회사법인 주식회사 이든밥상,360,180.0
육류,8809092577351,에어프라이어 마일드치킨,(주)한강식품,10,180.0
육류,8809656600693,즉석 소막창,주식회사 진심,360,180.0
소시지,8801123310272,라퀴진 에센부어스트,롯데제과(주) 김천공장,30,7.0
햄,8809626340215,제주생햄,농업회사법인 주식회사 에스엠푸드,90,7.0
육류,8809582320238,돈내장(냉동),주식회사 금호비앤디,360,180.0
육류,8809677410219,파인애플 닭가슴살,(주)프랜푸드,10,180.0
육류,8809601610210,眞양념닭갈비,한솔식품,365,180.0
육류,8809508330822,양념무뼈불닭발,(주)청정화푸드,360,180.0
육류,8809601880019,고추장불고기,미래식품,360,180.0
육류,8809037249466,한양매운양념돼지껍데기,한양제너럴푸드,60,180.0
우유,8801207991564,파스퇴르우유 후레쉬,롯데제과(주)파스퇴르공장,13,45.0
치즈,8809560610412,모짜렐라치즈100,한국유업주식회사,90,70.0
두부,8803150300257,국산콩으로 진하게 갈아 만든 두부,농업회사법인 한그루 2공장(주),16,90.0
소시지,8809574670679,닭가슴살맛 바(콘),(주)아워홈,42,7.0
김치,8809355360072,무말랭이 김치,(주)정우식품,120,180.0
육류,8809601610197,대구연탄곱창곱창골목맛,한솔식품,270,180.0
육류,8809398780837,마메든 돼지불고기 순한맛,(주)두루,10,180.0
김치,8801114149645,열무김치 톡톡,피피이씨글로벌김치 주식회사,60,180.0
육류,8809667770019,장충동 장향 족발,주식회사 왕선사람들,40,180.0
육류,8809428460678,초벌파막창,농업회사법인 주식회사 코리아식품,360,180.0
육류,8809706240169,소염통,재부푸드시스템,360,180.0
육류,8809248070880,상건 허브 숙성 고추장 삼겹살,(주)대신푸드글로벌,15,180.0
김치,8809776970201,깍두기,명가식품,120,180.0
우유,8801115114031,서울우유 나 100％,서울우유거창공장,12,45.0
두부,8809572600050,연봉 연두부,농업회사법인 유한회사 연봉두부,15,90.0
육류,8809521180312,직화구이 무뼈 매운닭발,다솔푸드,360,180.0
육류,8809428460548,올드마스터 훈제불곱창,농업회사법인 주식회사 코리아식품,360,180.0
소시지,8801066058897,한입에꼬치다 매운맛,(주)사조대림,45,7.0
햄,8809136880065,지리산 맑은 물 족발,주식회사 본래족발,180,7.0
묵,8809598820258,산골 도토리묵,(주)참진정,11,0.0
두부,8809207300041,지리산 산동두부,산동두부공장,14,90.0
햄,8809574676770,아워홈 프로슈토,(주)아워홈,180,7.0
육류,8809366355920,소곱창,(주)달구지푸드,360,180.0
햄,8809037249787,순살족발,한양제너럴푸드,60,7.0
육류,8809430222080,매콤돼지불고기,(주)케이프라이드,360,180.0
육류,8809580250070,도야지열불양념육,(주)융화식품,360,180.0
육류,8809379741055,푸건매운양념막창,주식회사푸건식품,365,180.0
묵,8809554260258,곤약,주식회사 동양식품,180,0.0
김치,8809334526482,별하트 유기농 어린이 백김치,농업회사법인주식회사담채원,60,180.0
우유,8801115114482,서울우유 바리스타즈 밀크,서울우유거창공장,12,45.0
김치,8801047583974,양반갓김치,(주)삼진 지.에프,1080,180.0
육류,8804316000769,버팔로 윙,(주)체리푸드,360,180.0
어묵,8803404001466,청죽,(주)효성어묵,50,3.0
햄,8809228683048,헛개골드오리바비큐,(주)이목원,45,7.0
육류,8809571170110,호가네제육볶음간장맛,오돌뼈의 진리,365,180.0
어묵,8809265020141,고래사 새우봉꼬치,(주)늘푸른바다,720,3.0
육류,8809218464695,대한곱창 소곱창전골용,(주)숲풀림식품,365,180.0
육류,8809421030151,맛바오 직화양념돈쪽갈비,오케이에프앤디,60,180.0
육류,8809087281843,국내산 수제 돼지갈비,이가네식품,360,180.0
육류,8809773540025,매운 닭갈비,맛모아식품,15,180.0
육류,8809610450029,수원왕구이,(주)더비앤비푸드,20,180.0
육류,8809582010030,염고집 수원 염포갈비,유한회사 농업회사법인 새림,365,180.0
육류,8809662980321,주당맛집 소특양,주식회사 초이스팜_하남,365,180.0
소시지,8809254540094,오빠닭 닭가슴살 소시지 갈릭훈제,농업회사법인(주)다영푸드,360,7.0
햄,8809365620449,오리지널훈제닭가슴살,농업회사법인 청우푸드 주식회사,360,7.0
소시지,8809610650245,친한 무항생제 매콤소시지,(주)친한 F&B,2,7.0
육류,8809452090599,화산한 초벌 청양고추 소곱창,다미설,365,180.0
육류,8809408250060,닭껍질꼬치,(주)마루종합식품,214,180.0
두부,8801114128961,크고 단단한 두부,(주)푸른촌,25,90.0
육류,8809515350264,백채양념육,(주)피아이씨푸드시스템,360,180.0
치즈,8809524630548,모짜렐라 피자치즈,(주)이스트밸리,90,70.0
묵,8809665553850,도토리묵,(주)아워홈,12,0.0
육류,8809701860232,황기품은통마늘막창,(주)왕선사람들,360,180.0
육류,8809549930203,삼겹살꼬치,박군레시피,180,180.0
