소분류,바코드,제품명,제조사,유통기한,소비기한-유통기한
육류,8809344630995,벌집껍데기,(주)토자연,360,180.0
어묵,8801047558118,추억의 부산어묵 두툼사각,(주)동원F＆B,15,3.0
김치,8809032390309,유정임전라도 포기김치,농업회사법인 풍미식품(주),365,180.0
두부,8801114142783,순두부,주식회사 피피이씨춘천,25,90.0
육류,8809731103866,옛날통닭 2마리,(주)사조오양 금산공장,300,180.0
치즈,8809560340098,끌레베르스트링치즈 / 냉장,(주)데어리젠,150,70.0
육류,8809729170047,매운등갈비,(주)미르스타푸드,20,180.0
육류,8809729170085,정통바베큐폭립,(주)미르스타푸드,20,180.0
어묵,8809585200315,햇마루 부산어묵 수제비,(주)우리원식품,10,3.0
육류,8809683530048,임성근의 수성심 연탄간장닭갈비,원더팩토리,365,180.0
햄,8809680780033,프럼팜미니족발,(주)프럼팜,40,7.0
육류,8809610590015,명가 고추장주물럭,형제축산푸드 주식회사,15,180.0
육류,8809625430115,소불고기,농업회사법인 (주)미트홈,10,180.0
치즈,8809524630494,모짜렐라치즈,(주)이스트밸리,270,70.0
김치,8809694201647,석박지,영농조합법인 소생로컬푸드,30,180.0
두부,8809257826649,연두부,(주)아워홈,16,90.0
육류,8809716860005,숯불향데리야끼순살닭꼬치,세왕,360,180.0
햄,8809248071030,국대오리 궁중 오리 바베큐,(주)대신푸드글로벌,45,7.0
김치,8809294050072,열무김치,들빛식품,30,180.0
두부,8809507890082,맷돌검은깨두부,일품두부,13,90.0
우유,8801121024478,매일우유 저지방 2%,매일유업(주) 광주공장,112,45.0
두부,8801024057177,아침에온국산콩고소한두부,대상(주)구미공장,23,90.0
소시지,8801007745770,맥스봉 할라피뇨후랑크,(주)소디프비앤에프,35,7.0
어묵,8801242644777,삼호부산어묵종합II,씨제이 씨푸드 주식회사,13,3.0
소시지,8801052735405,청정원불고기비엔나골드,대상델리하임 주식회사,30,7.0
육류,8809613170160,구운날개,옥토푸드 화신닭발,360,180.0
육류,8809090818296,한돈LA식양념갈비,(주)미트벨리,10,180.0
어묵,8801066054851,빅어묵바,(주)사조대림,35,3.0
육류,8809654880066,진맛고 양념 달콤불고기,(주)세연미트,10,180.0
육류,8809430220796,양념 찹스테이크,(주)케이프라이드,360,180.0
햄,8809248070743,상건 불 삼겹 훈제 바비큐,(주)대신푸드글로벌,45,7.0
두부,8809990078240,참두부,도향식품,15,90.0
육류,8809408252279,닭산적파꼬치,(주)마루종합식품,214,180.0
소시지,8809383601222,미카엘 셰프의 정통소시지,(주)미소담은,15,7.0
묵,8809632770396,맛있어연 연자묵,농업회사법인 정원(주),10,0.0
우유,8801069405605,맛있는우유GT 편안하게 소화되는 깔끔한 락토프리 저지방,남양유업 주식회사 천안신공장,15,45.0
육류,8809749250019,양념소대창,푸드컨테이너,730,180.0
김치,8809467260123,소양강맑은맛김치,윤서식품,180,180.0
육류,8809682940145,국물 닭발,페이비,360,180.0
햄,8801066050983,강황을 먹고자란 오리바베큐 슬라이스,농업회사법인 (주)사조원 나주공장,40,7.0
