제품명,바코드,유통기한,소분류,제조사
배추김치,8809545090048.0,28,김치,(주)명가식품
참! 건강한 탄두리 가슴살,8809385946604.0,30,햄,(주)참프레
건강마을손두부,8809310120260.0,7,두부,건강마을
웰니스미니윈너,8801074000086.0,40,소시지,한성기업(주)김해공장
직화구이후랑크,8801074250634.0,55,소시지,한성기업(주)김해공장
옛맛 연탄 불고기,8809452090490.0,365,육류,다미설
왕구이,8809358840267.0,12,육류,(주)미트라인
일품 비트 자박지,8804913000834.0,90,김치,농업회사법인 (유) 일품김치
남천간장찜닭,8809365660896.0,330,육류,(주)야미식스
미쁘미 발효숙성한우불고기,8809468980204.0,10,육류,유한회사 믿음식품
아인슈타인,88001340.0,15,우유,남양유업 주식회사 천안신공장
델리프랑크,8809013403110.0,40,소시지,에쓰푸드(주)
까몽FA90G,8809316150001.0,90,치즈,(주)본델
비프스낵,8809013407729.0,360,소시지,에쓰푸드(주)
SK 황태김치,8809414460187.0,365,김치,평창꽃순이
셀덕 오리훈제 슬라이스 (비살균 제품),8809222051676.0,30,햄,(주)모란식품
빠리의 할로미,8809220091063.0,30,치즈,이플 영농조합법인
치스토라 소시지,8809437070028.0,14,소시지,프랑스구르메(주)
초당두부,8809009552501.0,17,두부,강릉초당두부
심청골 두부,8809438640022.0,2,두부,심청골두부
이탈리안소시지,8809013406258.0,40,소시지,에쓰푸드(주)음성공장
초당순두부,8809009552044.0,7,두부,강릉초당두부
데리야끼 양념닭꼬치,8809245333469.0,360,육류,(주)청우푸드 인천지점
상하농원 삼겹 베이컨 슬라이스,8809488880119.0,28,베이컨,상하농원(유) 햄공방
BBQ 통다리바베큐치킨,8809385946482.0,40,햄,(주)참프레
셀덕 오리훈제 슬라이스 (비살균 제품),8809222051881.0,30,햄,(주)모란식품
양반깍두기(KT),8801047585008.0,45,김치,(주)동원F&B
무화과 왕구이용(순살),8809343351570.0,15,육류,(주)고향미트
원칙을 지키는 순백 허니 닭가슴살,8803712328934.0,40,햄,(주)농협목우촌
닭스터 닭불고기,8809465285401.0,9,육류,주식회사 케이에스에프엔지
엔듀이,8809013406500.0,60,소시지,에쓰푸드(주)
직화 제육 불고기 (고추장맛),8809535940094.0,360,육류,농업회사법인 주식회사 제이원푸드
셀덕 오리훈제 슬라이스 (비살균 제품),8809222051553.0,30,햄,(주)모란식품
베이컨,8809013402014.0,40,베이컨,에쓰푸드(주)음성공장
알뜨랑손두부,8809488520022.0,15,두부,알뜨랑농원
맛나맛족발,8804765000068.0,90,육류,해성축산
모듬소시지 l,8809013403721.0,40,소시지,에쓰푸드(주)
강화섬막김치,8809305320170.0,180,김치,강화섬김치
딱 한끼 어묵탕(순한맛),8809029031024.0,13,어묵,삼진식품(주)
모듬치킨BBQ꼬치,8809365660797.0,360,육류,(주)야미식스
모듬 어묵,8809183071027.0,15,어묵,해맑은 식품(주)
토담 장충동왕족발,8809355080260.0,60,육류,(주)토담
한양무뼈불닭발,8809037241033.0,60,육류,한양제너럴푸드
매운 돼지갈비찜,8809437620001.0,360,육류,덕우식품
학센,8809013401642.0,40,햄,에쓰푸드(주)
파스퇴르 바른목장 우유(팩),8801207150343.0,80,우유,롯데제과(주)파스퇴르공장
대장금알타리,8809483630023.0,180,김치,(주)푸름
엔젤스노우 모짜렐라,8809360901826.0,90,치즈,(주)킹스코
삶은돼지껍데기,8809504550491.0,30,육류,(주)더푸른식품
이계순 국물닭발,8809465700225.0,360,육류,(주)반석에프에스
모노 구워먹는 치즈,8809553510019.0,365,치즈,농업회사법인 (주)동방
만두품은어묵(순한맛),8809028890585.0,365,어묵,(주)서울식품
그릴 닭가슴살,8809409700540.0,360,햄,농업회사법인 하담푸드(주)
착한편육,8809528950017.0,35,육류,은성푸드
동그랑땡,8801007570532.0,90,소시지,씨제이제일제당(주)
남도 갓김치,8802052000203.0,360,김치,한국농협김치조합공동사업법인 전남지사
서희원 치닭꼬 매운맛,8809498940025.0,270,육류,(주)제이이코리아
올레길 모짜렐라 슈레드 자연치즈,8809394860854.0,30,치즈,주식회사 제주유기농
만가복돼지귀,8809528430007.0,90,육류,(주)성신푸드
볼로나소시지,8809013405367.0,40,소시지,에쓰푸드(주)음성공장
무우생채,8809526091552.0,15,김치,우정식품
메이플베이컨,8809013402991.0,40,베이컨,에쓰푸드(주)음성공장
하모니73,8809360902359.0,90,치즈,(주)킹스코
미트라인양념순살포크,8809358840472.0,12,육류,(주)미트라인
머리에땀나는 직화구이불닭발(무뼈),8809377820486.0,45,육류,(주)티아이지푸드
양반맛김치(KT),8801047589037.0,45,김치,(주)동원F&B
동원 와인담음 베이컨,8801047576020.0,30,베이컨,(주)동원F&B
열무김치,8803601010636.0,28,김치,(주)한성식품서산지점
참맛볼비엔나,8801492365644.0,30,소시지,(주)하림
맷돌 손두부,8809069739263.0,15,두부,대명식품
수리 숯불 날개(윙),8809542600042.0,360,육류,가보식품
존쿡델리미트 스모크치즈브랏,8809013404087.0,60,소시지,에쓰푸드(주)
한성 맛김치,8803601001207.0,30,김치,(주)한성식품
한가득어묵,8809183070587.0,15,어묵,해맑은 식품(주)
미트라인양념순살포크,8809358841202.0,12,육류,(주)미트라인
양념닭발화천辛,8809512550209.0,30,육류,농업회사법인 주식회사 화천
고다 치즈,8809301689059.0,90,치즈,주) 선인
참맛그릴후랑크,8801492365637.0,40,소시지,(주)하림
양념돼지갈비,8809466790034.0,365,육류,(주)세창푸드
오리지널후랑크,8801007616131.0,41,소시지,씨제이제일제당(주)
해토미모둠,8809536280083.0,240,소시지,(주)엔케이푸드시스템
무화과 왕구이용(순살),8809343351747.0,15,육류,(주)고향미트
돼지김치찜,8809535940070.0,360,육류,농업회사법인 주식회사 제이원푸드
뼈없는매콤S라인양념구이불닭발,8809488150014.0,360,육류,(주)원앙에프엔비
메이플베이컨,8809013404865.0,40,베이컨,에쓰푸드(주)음성공장
염지통오리(백숙용),8809439180305.0,10,육류,농업회사법인 대영씨제이(주)
LA식 양념갈비 / 냉장,8809363791226.0,15,육류,상호 주식회사
주원산 두배오리 홍삼숙성불고기,8809331470085.0,15,육류,영농조합법인두배식품
양반돌산갓김치,8801047583318.0,45,김치,(주)동원F&B
양념돼지주물럭,8809230838825.0,10,육류,화성종합식품(주)
대림선 사각,8801066301368.0,13,어묵,(주)사조대림
뽀까보까치즈,8809453150148.0,365,치즈,호호영농조합법인
공수간내장,8809185828865.0,15,육류,주식회사 달솔
매일우유 저지방 2%,8801121763193.0,112,우유,매일유업(주) 광주공장
볼로나소시지,8809013407552.0,40,소시지,에쓰푸드(주)음성공장
미트라인양념왕갈비,8809358841493.0,12,육류,(주)미트라인
푸짐하고 맛있는 두부,8802015111625.0,15,두부,(주)오성식품
닭가슴살소시지-어니언갈릭,8809499650022.0,30,소시지,(주)미젤 제2공장
셀덕 오리훈제 슬라이스 (비살균 제품),8809222051775.0,30,햄,(주)모란식품
셀덕 오리훈제 슬라이스 (비살균 제품),8809222051683.0,30,햄,(주)모란식품
서희원 치닭꼬 매운맛,8809498940001.0,270,육류,(주)제이이코리아
문주 스모크치즈,8809029031147.0,50,어묵,주식회사 어메이징팩토리
김경숙 순무물김치,8809422540383.0,60,김치,농업회사법인 순무명가
모짜렐라 피자치즈,8809231140019.0,30,치즈,안터원목장
광양식소불고기,8809090817916.0,10,육류,(주)미트벨리
세블락소시지,8809013403424.0,50,소시지,에쓰푸드(주)
도들샘맛김치,8801926194505.0,60,김치,(주)도들샘
웰니스브런치 허브페퍼,8801074000437.0,40,소시지,한성기업(주)김해공장
자연치즈 (K),8809360902496.0,90,치즈,(주)킹스코
양반맛김치(KT),8801047585213.0,45,김치,(주)동원F&B
알뜰주부 진주줄줄이,8801077618400.0,35,소시지,(주)진주햄
심청골 두부,8809438640015.0,2,두부,심청골두부
닭스터 윙봉치킨,8809465285456.0,270,육류,주식회사 케이에스에프엔지
매일우유 저지방 2%,8801121763599.0,112,우유,매일유업(주) 광주공장
수리 숯불닭,8809542600059.0,360,육류,가보식품
[냉동] 고급 사각어묵 야채맛,8803767033012.0,600,어묵,미도식품
설목장 유기농우유 24,8809393120003.0,10,우유,농업회사법인(주)설목장
미트라인양념돼지갈비,8809358840014.0,12,육류,(주)미트라인
프리미엄훈제닭가슴살,8809350310362.0,360,햄,(주)햇살푸드시스템
미트라인돌돌양념갈비,8809358840359.0,10,육류,(주)미트라인
양반포기김치(KT),8801047590149.0,45,김치,(주)동원F&B
맛김치,8803601001177.0,60,김치,(주)한성식품
햄스빌실속형베이컨,8801007365664.0,180,베이컨,씨제이제일제당(주)
비어슁켄,8809013405046.0,40,소시지,에쓰푸드(주)음성공장
누룩발효 갓김치,8809508340388.0,360,김치,주식회사 뜨레찬
동원 와인담음 베이컨,8801047575924.0,30,베이컨,(주)동원F&B
매운오리불고기,8809508330389.0,360,육류,(주)청정화푸드
울릉도오징어바,8809107390005.0,360,어묵,대동식품
정성한모,8809009551184.0,17,두부,강릉초당두부
신월마을 국산콩두부,8809392580013.0,15,두부,장수새보름영농조합
강화섬순무김치,8809305320262.0,180,김치,강화섬김치
선우어묵 맛디,8809147620001.0,12,어묵,(주)새난
(하남)닭갈비,8809355310176.0,360,육류,주현푸드 유한회사
슈바이네학센(가열제품),8809517770114.0,45,햄,만나푸드
춘천식닭갈비,8809355140629.0,10,육류,(주)더고기
서울우유,8801115114642.0,12,우유,서울우유협동조합 용인공장
고다 치즈,8809301684863.0,90,치즈,주) 선인
덴마크 화이트비엔나,8801047570035.0,35,소시지,(주)동원F&B
뉴른베르거그릴소시지,8809013403318.0,40,소시지,에쓰푸드(주)
오븐구이양념닭발(무뼈),8809563420087.0,330,육류,농업회사법인(주)대광
구운무뼈닭발,8809419950416.0,360,육류,하성에프앤비
이마트 조기어묵 390,8801066100435.0,13,어묵,(주)사조대림
메이플베이컨,8809013402922.0,40,베이컨,에쓰푸드(주)음성공장
아로니아 왕구이용,8809343350948.0,15,육류,(주)고향미트
꽃순이(특)김치,8809414460286.0,365,김치,평창꽃순이
스노우크랩 퓨어,8801066051256.0,40,어묵,(주)사조대림
바이오 불삼겹살,8809502730000.0,365,육류,바이오식육식품
무궁화 부산어묵,8809492420134.0,9,어묵,무궁화푸드
맛김치,8809480430107.0,720,김치,영농조합법인 무궁무진
열무김치,8809414460088.0,90,김치,평창꽃순이
알뜰한 우유,8801844017511.0,18,우유,학교법인건국대학교건국유업.건국햄
맛난 상천어묵,8809028892138.0,365,어묵,(주)서울식품
5無(무)훈제오리,8809361222678.0,40,햄,노랑오리농업회사법인(주)
매운맛모듬어묵,8801793000107.0,15,어묵,(주)환공식품
양념근위화천辛,8809512550186.0,30,육류,농업회사법인 주식회사 화천
춘천 간장 닭갈비,8809363791387.0,365,육류,상호 주식회사
석쇠한판돼지불고기,8809365660834.0,270,육류,(주)야미식스
전통안동찜닭,8809520390132.0,270,육류,주식회사 푸드팩토리
속편한 우유 저지방,8801115135777.0,12,우유,서울우유협동조합 양주공장
북성로연탄불고기,8809452090223.0,365,육류,다미설
평창보배목장 구워먹는치즈,8809507880038.0,60,치즈,보배유가공방
미쁘미뼈없는양념닭발,8809468980020.0,360,육류,유한회사 믿음식품
마메든 치킨{까스용/텐더스틱용/강정용/탕수육용/꼬지용/후라이드용},8809398780677.0,15,육류,(주)두루
총각(알타리)김치,8809489230340.0,300,김치,(주)채자연
알타리 김치,8803601010605.0,28,김치,(주)한성식품
이탈리안소시지,8809013404940.0,40,소시지,에쓰푸드(주)음성공장
동원 오븐&통그릴 블랙퍼스트 소시지,8801047571001.0,45,소시지,(주)동원F&B
미트라인양념순살포크,8809358840427.0,12,육류,(주)미트라인
부산어묵 국탕용종합 초특가기획,8801066150973.0,13,어묵,(주)사조대림
강릉초당두부,8809009552969.0,15,두부,강릉초당두부
막달군 숙성돼지막창,8809337220271.0,360,육류,(주)서라벌푸드
웰니스브런치 오리지널,8801074000444.0,40,소시지,한성기업(주)김해공장
볶음김치,8809426820054.0,540,김치,아림농산영농조합법인
수리 숯불닭발,8809542600035.0,360,육류,가보식품
율산오리고추장불고기,8809448450093.0,10,육류,주식회사 동원축산
슈바인학센,8809013407361.0,45,햄,에쓰푸드(주)음성공장
미트라인양념순살포크,8809358840410.0,12,육류,(주)미트라인
율산언양식석쇠불고기,8809448450147.0,10,육류,주식회사 동원축산
무궁화 부산어묵,8809492420004.0,9,어묵,무궁화푸드
김경숙 순무물김치,8809422540192.0,60,김치,농업회사법인 순무명가
선우어묵 진수성찬,8803453500705.0,12,어묵,(주)새난
셀덕 오리훈제 슬라이스 (비살균 제품),8809222051850.0,30,햄,(주)모란식품
롯데 의성마늘 프랑크,8801123309535.0,40,소시지,롯데제과(주) 김천공장
케이준부어스트FZ,8801074002578.0,365,소시지,한성기업(주)김해공장
웰니스브런치 허브페퍼,8801074000451.0,40,소시지,한성기업(주)김해공장
과일숙성 후랑크,8801074256896.0,55,소시지,한성기업(주)김해공장
양반백김치(KT),8801047590385.0,45,김치,(주)동원F&B
흑마늘왕족발,8809500060000.0,60,햄,농업회사법인 자연과농부(주)
닭다리 훈제,8809524230137.0,45,햄,(주)자연푸드
미니카나디언,8809013404322.0,40,소시지,에쓰푸드(주)
그릴 닭가슴살,8809409700588.0,360,햄,농업회사법인 하담푸드(주)
유기농 저지방 우유,8801121109632.0,15,우유,매일유업(주)상하공장
[냉동] 고급 모듬어묵 13종 싱글팩,8803767038017.0,600,어묵,미도식품
페퍼로니,8801074002776.0,365,소시지,한성기업(주)김해공장
다매향 신선통오리 훈제,8809504880109.0,45,햄,농업회사법인 주식회사 다오네푸드
튀긴두부,8805211000045.0,7,두부,(주)신미씨앤에프
양념소불고기,8809420430235.0,15,육류,㈜오에스푸드
배추김치,8809545090031.0,28,김치,(주)명가식품
꼬꼬킹 매운불닭,8809496820015.0,15,육류,주식회사 제이제이푸드
쿡페파로니,8809013405695.0,40,소시지,에쓰푸드(주)
바이스부어스트,8809013403523.0,60,소시지,에쓰푸드(주)
누룩발효 갓김치,8809508340012.0,360,김치,주식회사 뜨레찬
양념 소 불고기,8809230838849.0,10,육류,화성종합식품(주)
셀덕 오리훈제 슬라이스 (비살균 제품),8809222051898.0,30,햄,(주)모란식품
88대구 양념오돌뼈,8809452090360.0,365,육류,다미설
배추김치,8809508390079.0,120,김치,빛고을김치 영농조합법인
파워닭 치킨브레스트(매콤토마토맛),8809483670111.0,270,육류,파워닭
옥수수콘 소시지,8809406030510.0,30,소시지,농업회사법인 킹스테이블(주)
오리목 간식,8809522110011.0,300,햄,(주)성우푸드
미트라인양념왕갈비,8809358840106.0,12,육류,(주)미트라인
비프파스트라미,8809013402564.0,40,햄,에쓰푸드(주)음성공장
동치미,8803601010490.0,28,김치,(주)한성식품
존쿡델리미트 스모크치즈브랏,8809013404186.0,60,소시지,에쓰푸드(주)
오리갈비,8809330210040.0,10,육류,(주)대한애그리컬쳐
뼈없는 직화구이닭발(현대옥),8809377820745.0,360,육류,(주)티아이지푸드
인포켓치즈 키즈,8801155737658.0,60,치즈,(주)동원에프앤비 강진공장
마녀연탄불고기,8809452090254.0,365,육류,다미설
메이플베이컨,8809013403165.0,40,베이컨,에쓰푸드(주)음성공장
제대로만든매콤한꼬치후랑크,8809013405138.0,60,소시지,에쓰푸드(주)
무말랭이,8801926232207.0,50,김치,(주)도들샘
마메든 닭순살불고기 매운맛,8809398780684.0,10,육류,(주)두루
메이플베이컨,8809013404193.0,40,베이컨,에쓰푸드(주)음성공장
매운맛 탱탱 후랑크,8809406030473.0,30,소시지,농업회사법인 킹스테이블(주)
머땀 매콤 껍질없는 닭갈비,8809377820820.0,365,육류,(주)티아이지푸드
선우어묵 매,8803453341186.0,12,어묵,(주)새난
마메든 돼지양념갈비 순한맛,8809398780714.0,10,육류,(주)두루
멸균우유,8801121102039.0,180,우유,매일유업(주) 광주공장
셀덕 오리훈제 슬라이스 (비살균 제품),8809222051812.0,30,햄,(주)모란식품
오리지널후랑크,8801007104973.0,41,소시지,씨제이제일제당(주)
직화구이후랑크,8801074251839.0,55,소시지,한성기업(주)김해공장
직화구이 불닭,8809419950522.0,360,육류,하성에프앤비
아워홈 고추잡채 만두 속 어묵(냉동),8809331502748.0,540,어묵,(주)아워홈
보승민속족발,8809266250202.0,90,육류,주식회사 보승식품
미트라인양념왕갈비,8809358840144.0,12,육류,(주)미트라인
옥수수콘소시지Ⅰ,8809266649075.0,45,소시지,(주)에스앤비푸드 농업회사법인
밀크롱 스트링 치즈,8809403460006.0,30,치즈,밀크모아영농조합법인
튼튼닭가슴살훈제,8809416720067.0,360,햄,주식회사 맘씨
누룩발효 총각김치,8809508340142.0,360,김치,주식회사 뜨레찬
소와나무 이태리안피자치즈,8801155738433.0,90,치즈,(주)동원에프앤비 강진공장
바베큐족,8809013401611.0,40,햄,에쓰푸드(주)
양념무뼈닭발,8809563420117.0,360,육류,농업회사법인(주)대광
마메든 돼지불고기 매운맛,8809398780325.0,10,육류,(주)두루
미트라인양념왕갈비,8809358841226.0,12,육류,(주)미트라인
강화섬순무물김치,8809305320255.0,60,김치,강화섬김치
롯데 의성마늘 프랑크,8801123880164.0,40,소시지,롯데제과(주) 김천공장
직화무뼈불닭발,8809508330402.0,360,육류,(주)청정화푸드
양념돼지껍데기,8809383421318.0,10,육류,영화푸드
매콤닭갈비,8809343350818.0,15,육류,(주)고향미트
껍질없는 양념닭갈비(현대옥),8809377820769.0,360,육류,(주)티아이지푸드
어부의바 통새우맛,8809029030614.0,50,어묵,주식회사 어메이징팩토리
킹치즈 모짜렐라 H 100 (G),8809360902014.0,90,치즈,(주)킹스코
허브후라이드꼬치,8809245334510.0,365,육류,(주)청우푸드 포천지점
영수닭갈비,8809344170569.0,6,육류,명일축산영농조합
존쿡델리미트 터키브레스트,8809013407187.0,45,햄,에쓰푸드(주)음성공장
배추김치,8809489230203.0,360,김치,(주)채자연
매콤닭갈비,8809343351761.0,15,육류,(주)고향미트
일품손두부,8809507890020.0,13,두부,일품두부
서리태콩으로 만든 냉콩물,8802015101527.0,3,두부,(주)오성식품
까몽FFA90G,8809316150810.0,180,치즈,(주)본델
불갈비맛닭가슴살,8809490230087.0,360,햄,농업회사법인(주)서동물산
머땀 돼지고추장 불고기,8809377820868.0,365,육류,(주)티아이지푸드
무우생채,8809526090609.0,15,김치,우정식품
빵가루후라이드닭꼬지,8809413630147.0,365,육류,주식회사 다온
대자연 큰뼈없는 왕족발,8809412130006.0,30,육류,대자연
선우어묵 야채범벅,8803453000113.0,12,어묵,(주)새난
김경숙 밴댕이순무김치,8809422540321.0,60,김치,농업회사법인 순무명가
닭가슴살 훈제,8809524230120.0,45,햄,(주)자연푸드
양념 소불고기,8809364422228.0,12,육류,(주)견우푸드
바베큐 포크밸리,8809013407651.0,40,햄,에쓰푸드(주)음성공장
딱 한끼 어묵탕(얼큰한맛),8809029031017.0,13,어묵,삼진식품(주)
후라이드꼬지,8809365660483.0,270,육류,(주)야미식스
킹치즈 모짜렐라 H 100 (G),8809360902021.0,90,치즈,(주)킹스코
미트라인양념돼지갈비,8809358841233.0,12,육류,(주)미트라인
모짜렐라 피자치즈,8809524630036.0,90,치즈,(주)이스트밸리
청보리 숯불향 소불고기,8809482555068.0,270,육류,농업회사법인 주식회사 이앤지푸드
양념돼지갈비,8809353800006.0,20,육류,고기나라
오성순두부,8802015100056.0,15,두부,(주)오성식품
불고기소시지,8809013403226.0,40,소시지,에쓰푸드(주)
소각(냉동),8801793000046.0,360,어묵,(주)환공식품
서울우유 1000,8801115414230.0,12,우유,서울우유협동조합 양주공장
동원 앙코르비엔나,8801047573128.0,35,소시지,(주)동원F&B
원칙을 지키는 비엔나,8803712125311.0,35,소시지,(주)농협목우촌
캠쏘 캠핑소세지(매운맛),8809496820039.0,15,소시지,주식회사 제이제이푸드
목장의신선함이살아있는우유,8801115114321.0,12,우유,서울우유협동조합 용인공장
셀덕 오리훈제 슬라이스 (비살균 제품),8809222051805.0,30,햄,(주)모란식품
오늘도토리묵,8809380970277.0,15,묵,서한식품 주식회사
백김치,8809349730652.0,60,김치,광보네 김치
두부 스파게티,8809511250087.0,14,두부,농업회사법인(주)라라스팜
미트라인양념돼지갈비,8809358841257.0,12,육류,(주)미트라인
봉,8809332732410.0,10,닭고기,(주)현진
팔복도가니,8809258680338.0,365,육류,(주)팔복농산
셀덕 오리훈제 슬라이스 (비살균 제품),8809222051744.0,30,햄,(주)모란식품
목장의신선함이살아있는우유,8801115114260.0,12,우유,서울우유협동조합 용인공장
정천양념튤립닭발,8809549450015.0,360,육류,(주)에이치에스식품
오리갈비,8809330210033.0,10,육류,(주)대한애그리컬쳐
매콤당면맛어묵,8803404000766.0,12,어묵,(주)효성어묵
열무김치,8803601001719.0,28,김치,(주)한성식품
맛김치,8803601010179.0,60,김치,(주)한성식품
오돌뼈볶음,8809218463759.0,365,육류,(주)숲풀림식품
열우물 열무물김치,8809400550199.0,360,김치,농업회사법인 이정 주식회사
컨츄리덕통오리훈제바베큐,8809180491644.0,45,햄,(주)덕스 농업회사법인
선우어묵 송송,8803453320013.0,12,어묵,(주)새난
참살이 오리훈제,8809472990282.0,50,햄,농업회사법인 주식회사 미소가
동원 앙코르비엔나,8801047573319.0,35,소시지,(주)동원F&B
왕구이,8809358840274.0,12,육류,(주)미트라인
직화구이후랑크,8801074250641.0,55,소시지,한성기업(주)김해공장
강원 청정목장 유기농 우유 저지방 / 냉장,8809194168877.0,12,우유,범산목장
신선한 국산원유 모짜렐라,8801155737368.0,90,치즈,(주)동원에프앤비 강진공장
양념돼지갈비,8809390540323.0,0,육류,(주)풍산푸드시스템
본엠 통그릴비엔나,8801047578239.0,35,소시지,(주)동원F&B
숯내음 닭발,8809452220149.0,360,육류,(주)오성파트너스 포천지점
불고기소시지,8809013403158.0,40,소시지,에쓰푸드(주)
매콤한 양념돼지막창,8809515480022.0,360,육류,진주식품
강화섬순무김치,8809305320125.0,180,김치,강화섬김치
선우어묵 왕봉C,8803453000069.0,360,어묵,(주)새난
빌소시지,8809090817770.0,10,소시지,(주)미트벨리
뉴베이컨,8809164130071.0,30,베이컨,(주)구스베
배추김치,8809508390239.0,120,김치,빛고을김치 영농조합법인
속편한 우유 저지방,8801115114673.0,12,우유,서울우유협동조합 양주공장
국산콩두부,8809257430378.0,12,두부,(주)소이빈델리
초밥용 유부,8805211000076.0,50,두부,(주)신미씨앤에프
오븐소막창,8809506540025.0,60,육류,윤도현막창
미트라인돌돌양념갈비,8809358841462.0,10,육류,(주)미트라인
닭가슴살소시지-밀크부어스트,8809499650039.0,30,소시지,(주)미젤 제2공장
파김치,8809508390345.0,28,김치,빛고을김치 영농조합법인
자연마춤두부 부침용,8809528200013.0,14,두부,농업회사법인한살림안성마춤식품유한회사
서울우유,8801115114543.0,12,우유,서울우유협동조합 용인공장
정담돼지부산물수육,8809524280088.0,360,육류,(주)다내축산 2공장
국물닭발,8809419950546.0,360,육류,하성에프앤비
누룩발효 갓김치,8809508340340.0,360,김치,주식회사 뜨레찬
춘천식닭갈비주물럭,8809230830058.0,10,육류,화성종합식품(주)
파김치,8809508390185.0,28,김치,빛고을김치 영농조합법인
88대구 연탄불고기,8809452090377.0,365,육류,다미설
맘스덕삼채숙성오리훈제,8809365620326.0,45,햄,농업회사법인 청우푸드 주식회사
가마솥연두부,8809261840071.0,15,두부,대명식품
미트라인양념왕갈비,8809358840151.0,12,육류,(주)미트라인
비엔나소세지,8801074250689.0,55,소시지,한성기업(주)김해공장
돼지주물럭(반제품),8809230830003.0,10,육류,화성종합식품(주)
미니 큐브 고다,8809360901321.0,90,치즈,(주)킹스코
설악산묵마을 도토리묵,8809051710515.0,10,묵,설악식품
염지절단육-1,8809033970005.0,7,육류,(주)마니커 천안지점
남양 맛있는 우유 GT,8801069221397.0,15,우유,남양유업(주) 경주공장
라퀴진 리치브라운 소시지,8801123880157.0,40,소시지,롯데제과(주)
허브블루베리 훈제오리,8809428190254.0,45,햄,나주목사골 영농조합법인
양념돼지직화불곱창,8809545420173.0,720,육류,세이브푸드
선우어묵 백송1,8803453500187.0,360,어묵,(주)새난
복분자돼지불고기,8809365660810.0,270,육류,(주)야미식스
우리콩두부,8803150200168.0,16,두부,농업회사법인 한그루(주)
영수순살닭갈비,8809344170576.0,6,육류,명일축산영농조합
총각김치,8809508390291.0,120,김치,빛고을김치 영농조합법인
토핑&쿠킹치즈 모짜렐라,8801155737535.0,90,치즈,(주)동원에프앤비 강진공장
남양 맛있는 우유 GT 저지방,8801069177298.0,14,우유,남양유업(주) 나주공장
1등급 원료육을 사용한 훈제슬라이스,8809216730198.0,45,햄,(주)팜덕
매운양념오돌뼈,8809508330013.0,360,육류,(주)청정화푸드
맛김치,8809414460279.0,365,김치,평창꽃순이
갓김치,8809508390161.0,120,김치,빛고을김치 영농조합법인
백김치,8803601000361.0,28,김치,(주)한성식품서산지점
제육볶음,8809496550127.0,360,육류,주식회사 디에스에프앤비
데리야끼 양념닭꼬치,8809245333490.0,360,육류,(주)청우푸드 인천지점
다매향 신선슬라이스 훈제,8809504880079.0,45,햄,농업회사법인 주식회사 다오네푸드
양념돼지갈비,8809353800020.0,20,육류,고기나라
명우 돼지막창,8809396131020.0,365,육류,(주)범어푸드
누룩발효 갓김치,8809508340128.0,360,김치,주식회사 뜨레찬
후레쉬 밀크,8801115114390.0,12,우유,서울우유협동조합 양주공장
양지고기,8809373650087.0,360,육류,주식회사 타스테코
건강한오리 훈제슬라이스600,8809097285930.0,40,햄,농업회사법인(주)주원산오리
초리조 소시지,8809364420712.0,40,소시지,(주)견우푸드 제2공장
연두부,8809257826645.0,16,두부,(주)아워홈
불족발돼지껍데기,8809535940032.0,360,육류,농업회사법인 주식회사 제이원푸드
머땀 뼈없는 불닭발,8809377820912.0,360,육류,(주)티아이지푸드
존쿡델리미트 스모크치즈브랏,8809013404148.0,60,소시지,에쓰푸드(주)
닭가슴살소시지-어니언갈릭,8809499650015.0,30,소시지,(주)미젤 제2공장
건강마을손두부,8809429320001.0,7,두부,건강마을
우리콩으로 만든 두부,8802015101718.0,15,두부,(주)오성식품
갓김치,8809508390062.0,120,김치,빛고을김치 영농조합법인
강화섬열무김치,8809305320323.0,180,김치,강화섬김치
산내음들바람 구워먹는 할루미치즈,8809341120024.0,30,치즈,산들치즈
조선호텔 열무김치,8805588000532.0,120,김치,(주)조선호텔앤리조트김치
과일숙성소진막창,8809516120019.0,360,육류,명선푸드
양반맛김치(KT),8801047590354.0,45,김치,(주)동원F&B
씨백김치,8809414460309.0,180,김치,평창꽃순이
옳은 유기농 우유,8801069402871.0,12,우유,남양유업(주) 나주공장
매운껍데기볶음,8809218462929.0,60,육류,(주)숲풀림식품
유어스 부산어묵 김치어묵탕,8809183078811.0,15,어묵,해맑은 식품(주)
파김치,8809508390222.0,28,김치,빛고을김치 영농조합법인
머땀 돼지껍데기 볶음,8809377820646.0,365,육류,(주)티아이지푸드
총각김치,8809414460064.0,90,김치,평창꽃순이
웰니스미니윈너,8801074259880.0,40,소시지,한성기업(주)김해공장
썸타나바 매콤,8801066054349.0,35,어묵,(주)사조대림
주원산오리 훈제슬라이스600,8809097289501.0,30,햄,농업회사법인(주)주원산오리
진주 닭발편육,8809515480015.0,365,육류,진주식품
왕구이,8809358841219.0,12,육류,(주)미트라인
누룩발효 총각김치,8809508340050.0,360,김치,주식회사 뜨레찬
간편 매콤소스 부산어묵,8801066054875.0,13,어묵,(주)사조대림
땅깊은 깍두기,8809511670069.0,60,김치,세인푸드농업회사법인주식회사청도공장
선우어묵 요리어묵,8803453500026.0,12,어묵,(주)새난
동원 녹차담음 베이컨,8801047575955.0,30,베이컨,(주)동원F&B
하늘이 내린 면두부,8809511250100.0,31,두부,농업회사법인(주)라라스팜
갓김치,8809508390048.0,120,김치,빛고을김치 영농조합법인
