제품명,바코드,유통기한,소분류,제조사
부산어묵목련,8809028892138.0,13,어묵,(주)서울식품
쿡살라미,8809013402540.0,45,소시지,에쓰푸드홀딩스 주식회사
대림선 볶음용어묵,8801066201057.0,13,어묵,(주)사조대림
남양 맛있는 우유 GT,8801069917351.0,15,우유,남양유업 주식회사 천안신공장
석박지,8809216851213.0,50,김치,도미솔식품
슬림 통살 닭가슴살,8801492364586.0,365,육류,(주)하림
이푸드 훈제 닭가슴살,8809021759032.0,60,햄,(주)이푸드
소양념불고기,8809411050404.0,15,육류,주식회사 우보식품
뼈 없는 양념닭발(일명 무뼈 닭발),8809270560076.0,360,육류,하나식품
게맛살큰잔치,8801066500266.0,40,어묵,(주)사조대림
화이트소시지,8803784000172.0,40,소시지,농업회사법인 (주)대경햄
닭고추장불고기,8809411050541.0,15,육류,주식회사 우보식품
김밥 愛(애) 쏘옥,8801066513211.0,40,어묵,(주)사조대림
덴마크 무항생제우유,8801122001027.0,9,우유,(주)동원F&B(에프앤비) 정읍공장
삼겹바베큐,8809013405091.0,40,햄,에쓰푸드(주)
참숯 훈연 오리훈제,8803051880384.0,50,햄,(주)에이스푸드
건강엔(n)진한 도토리묵,8809377380300.0,4,묵,농업회사법인주식회사우리푸디스
총각김치,8803856000376.0,60,김치,(주)진보식품
장안양념왕족,8809354310078.0,30,육류,장안푸드
아리랑닭고기,8809347801200.0,15,육류,농업회사법인 꿀맛나는세상 주식회사
요리 종합어묵,8801066151161.0,13,어묵,(주)사조대림
태양내장,8809353230117.0,15,육류,(주)부경축산
열우물나박김치,8809400550090.0,360,김치,농업회사법인 이정 주식회사
서진 양념불닭발,8809412450036.0,365,육류,서진식품
하루에한모맛두부,8809352640214.0,1,두부,다원푸드
훈제돈족,8809021752019.0,60,햄,(주)이푸드
큐슈 사츠마아게 문어어묵,8801066310117.0,35,어묵,(주)사조대림
하림 바베큐 버팔로윙,8801492353481.0,270,햄,(주)하림
백련초바베큐돼지막창,8809366354039.0,360,육류,에스티푸드
실속종합어묵,8801066200098.0,13,어묵,(주)사조대림
버드내 토종닭훈제,8809310770038.0,40,햄,농업회사법인 버드내(주)
어묵튀김(튀긴어묵),8803404000087.0,12,어묵,(주)효성어묵
크라비아,8801066511019.0,40,어묵,(주)사조대림
태양내장,8809353230124.0,15,육류,(주)부경축산
야채촌호박어묵,8801066106505.0,10,어묵,(주)사조대림
종가집맛김치,8801024120222.0,45,김치,대상(주)횡성공장
양념오리불고기,8809383600348.0,13,육류,(주)미소담은
100% 국내산 우엉을 넣어 만든 어묵,8801066150751.0,13,어묵,(주)사조대림
한성포기김치,8803601010049.0,30,김치,(주)한성식품서산지점
벌꿀숙성 훈제오리 슬라이스,8809365440023.0,45,햄,돈천지주식회사
간장오리 양념불고기,8809408680492.0,110,육류,유원푸드
훈제삼겹,8809369670167.0,20,베이컨,(주)우와돈
담채원 포기김치,8809334527076.0,365,김치,농업회사법인주식회사담채원
남양 맛있는 우유 GT,880106922177.0,15,우유,남양유업 주식회사 천안신공장
비프폴리쉬,8809013406210.0,40,소시지,에쓰푸드홀딩스 주식회사
총각김치,8803104000295.0,90,김치,한국농협김치조합공동사업법인충북지사
잡채어묵,8801066203051.0,25,어묵,(주)사조대림
부산어묵목련,8809028890097.0,13,어묵,(주)서울식품
순두부,8809010581002.0,15,두부,영농조합법인그린자연식품
명품오리훈제바베큐,8809405820204.0,45,햄,유진식품
크라비아,8801066513426.0,40,어묵,(주)사조대림
프랑크푸르터,8809013406562.0,60,소시지,에쓰푸드(주)
포기김치,8801047587286.0,28,김치,(주)동원F&B
흑마늘숙성오리훈제너비아니,8809405820280.0,45,햄,유진식품
맛김치,8802127100289.0,180,김치,서안동농협풍산김치공장
뉴른베르거,8809013406319.0,40,소시지,에쓰푸드홀딩스 주식회사
우엉어묵,8801793072548.0,15,어묵,(주)환공식품
돼지 양념 껍데기,8809411051227.0,15,육류,주식회사 우보식품
허니꼬치,8809387160046.0,360,육류,(주)에프비씨(FBC)
후레쉬 모짜렐라 치즈 / 냉동,8809117020213.0,730,치즈,(주)데어리젠
세블락소시지,8809013403424.0,40,소시지,에쓰푸드홀딩스 주식회사
채담뜰소불고기,8809417710036.0,180,육류,(주)한수식품
포기김치,8803856000321.0,300,김치,(주)진보식품
돼지고추장불고기,8809411051050.0,15,육류,주식회사 우보식품
돼지양념불고기,8809411050053.0,15,육류,주식회사 우보식품
요리가간편한국탕용어묵,8801066150393.0,13,어묵,(주)사조대림
훈제삼겹살,8807022000221.0,360,베이컨,주식회사 태림에프웰
불닭발,8809353680035.0,180,육류,(주)제이닷피
돼지양념갈비,8809411050213.0,15,육류,주식회사 우보식품
흰여울 한돈왕구이,8809360450324.0,20,육류,흰여울푸드(주)
불닭발,8809353680011.0,180,육류,(주)제이닷피
대림선맛살,8801066500247.0,25,어묵,(주)사조대림
흰여울양념돈왕구이,8809360450058.0,20,육류,흰여울푸드(주)
제육볶음,8809399880086.0,360,육류,산과들에프엔씨
묵은지,8801024163809.0,180,김치,대상(주)횡성공장
오리고추장불고기,8809411050466.0,15,육류,주식회사 우보식품
담채원 총각김치,8809334527175.0,90,김치,농업회사법인주식회사담채원
부드러운 차슈스테이크,8809331506630.0,36,육류,주식회사 아워홈
월매네물밤묵,8809050810230.0,30,묵,노고단식품
[냉동] 부산 구운어묵,8803767013014.0,600,어묵,미도식품
오리고추장불고기,8809411050497.0,15,육류,주식회사 우보식품
닭갈비,8809362160009.0,2,육류,광수유통
모듬꼬지,8809365660056.0,720,햄,(주)야미식스
무뼈양념닭발,8809411050664.0,15,육류,주식회사 우보식품
상건오리갈비,8809248070187.0,180,육류,(주)상건
닭고추장불고기,8809411051463.0,15,육류,주식회사 우보식품
엄마뽕잎수제소시지,8809388180043.0,30,소시지,농업회사법인 유한회사 뽕의도리
삼겹깻잎말이,8809227780175.0,360,육류,(주)토담푸드시스템
비스카나페볼,8801077663806.0,30,소시지,(주)진주햄
포너스딸기맛우유,8801155201517.0,8,소시지,(주)동원F&B 수원공장
훈제오리바베큐슬라이스,8809389820245.0,45,햄,영농조합법인 비엔푸드
담채원 백김치,8809334527915.0,60,김치,농업회사법인주식회사담채원
돼지고기 꼬치,8809331505398.0,360,육류,주식회사 아워홈
맛김치,8802127100708.0,180,김치,서안동농협풍산김치공장
아름찬갓김치,8802052000296.0,45,김치,한국농협김치조합공동사업법인 전남지사
수라상 포기김치,8801766053260.0,30,김치,(주)삼진 지.에프
씨제이 씨푸드 삼호부산어묵,8801242641769.0,0,어묵,씨제이 씨푸드 주식회사
한성총각김치,8803601001429.0,30,김치,(주)한성식품서산지점
화이트카레소시지,8809369670006.0,20,소시지,(주)우와돈
월매네물밤묵,8809050810056.0,30,묵,노고단식품
돔어묵 야채,8801066150065.0,12,어묵,(주)사조대림
왕비포기김치,8809216851282.0,120,김치,도미솔식품
해오름우무묵,8809261140072.0,10,묵,(주)맑은해오름
무뼈불닭발,8809138750731.0,45,육류,(주)제이엠푸드
서울우유,8801115111023.0,12,우유,서울우유협동조합 안산공장
매운닭불고기,8809373690069.0,7,육류,(주)케이씨에프
행복한맛남 갈치로만든 부산어묵 볼,8809331506142.0,13,어묵,(주)아워홈
양념닭꼬치(데리야끼맛),8809387160008.0,360,육류,(주)에프비씨(FBC)
담채원 맛김치,8809334527724.0,365,김치,농업회사법인주식회사담채원
닭산적,8809227780007.0,360,육류,(주)토담푸드시스템
담채원 석박지,8809334527434.0,90,김치,농업회사법인주식회사담채원
태양내장,8809353230148.0,15,육류,(주)부경축산
훈제삼겹,8809344170071.0,50,햄,명일축산영농조합
신바로구이납작후랑크,8801077550502.0,40,소시지,(주)진주햄
닭가슴살 꼬치,8809331500942.0,360,육류,주식회사 아워홈
맛김치,8803104248321.0,90,김치,한국농협김치조합공동사업법인충북지사
갓김치,8803856000413.0,90,김치,(주)진보식품
비엔나소시지,8809369670334.0,20,소시지,(주)우와돈
내가먹는통두부,8809235610013.0,25,두부,(주)내먹
춘천후레쉬닭갈비(순한맛),8809106911010.0,7,육류,(주)우농식품
백김치,8801047587378.0,28,김치,(주)동원F&B
한성포기김치,8803601100139.0,30,김치,(주)한성식품서산지점
흰여울양념 소LA갈비,8809360450133.0,20,육류,흰여울푸드(주)
아리랑닭고기,8809347801163.0,15,육류,농업회사법인 꿀맛나는세상 주식회사
포기김치,8809216851268.0,120,김치,도미솔식품
흑마늘 숙성 웰빙 오리훈제,8803051880353.0,50,햄,(주)에이스푸드
햄볶음김치,8801316090011.0,60,김치,농업회사법인 주식회사 한울
빙그레 굿모닝 우유,8801104211994.0,16,우유,(주)빙그레
양반포기김치,8801047590187.0,45,김치,(주)동원F&B
제주흑돼지 원너,8809374860072.0,40,소시지,농업회사법인주식회사제주돈육수출센터
담채원 백김치,8809334527946.0,60,김치,농업회사법인주식회사담채원
부산맛어묵(야채오뎅),8805877888889.0,7,어묵,목포대양식품조합
아워홈 소불고기,8809331505596.0,360,육류,주식회사 아워홈
크라비아,8801066511002.0,40,어묵,(주)사조대림
콧구녕미니매운족발,8809153712790.0,45,육류,농업회사법인(주)청미원식품
특선겉절이,8809216851299.0,50,김치,도미솔식품
쿠겔,8809013404933.0,40,햄,에쓰푸드(주)
코파,8809013406609.0,360,햄,에쓰푸드(주)
그릴소시지,8809013403301.0,40,소시지,에쓰푸드홀딩스 주식회사
돼지오돌뼈,8809138750724.0,360,육류,(주)제이엠푸드
후라이드순살치킨(다리살),8809390910003.0,270,육류,세 진
맑은물에 우무,8809031552142.0,4,묵,(주)맑은물에
오이소박이,8809216851244.0,50,김치,도미솔식품
이탈리안살라미,8809013405251.0,180,소시지,에쓰푸드홀딩스 주식회사
양념닭발,8809371500025.0,365,육류,코리아종합식품(주)가야지점
오리고추장불고기,8809411050534.0,15,육류,주식회사 우보식품
참지음 화이트 후랑크,8809354580105.0,40,소시지,농업회사법인 행복주식회사
청도청정두부,8809039530067.0,15,두부,주식회사 장원식품
담채원 겉절이,8809334527830.0,60,김치,농업회사법인주식회사담채원
국수곤약,8802519313310.0,180,묵,주식회사 동양식품
감칠배기김치,8801766010225.0,45,김치,(주)삼진 지.에프
양념돈왕구이,8809321300231.0,10,육류,(주)윤덕
어묵,8804006000123.0,10,어묵,(주)부산식품
고들빼기김치,8809033410402.0,180,김치,(주)콩세상
춘천후레쉬닭갈비(매운맛),8809106911027.0,7,육류,(주)우농식품
큐슈 사츠마아게 치즈어묵,8801066310094.0,35,어묵,(주)사조대림
볶음김치,8801316122125.0,60,김치,농업회사법인 주식회사 한울
청산별덕 돈(豚)바베큐,8809309820621.0,40,햄,주식회사 청산식품
연탄직화불고기,8809370980002.0,365,육류,포만식품
유황먹인오리훈제바베큐,8809404180019.0,45,햄,(주)정다운 신성푸드
족발훈제바베큐,8809226810224.0,45,햄,(주)씨지엠
게맛살,8801066500216.0,25,어묵,(주)사조대림
돌산갓김치,8809033410419.0,180,김치,(주)콩세상
흰여울양념돈왕구이,8809360450089.0,20,육류,흰여울푸드(주)
비프스틱,8809013406685.0,90,소시지,에쓰푸드홀딩스 주식회사
담채원 석박지,8809334527427.0,90,김치,농업회사법인주식회사담채원
유기농포기김치,8809334529063.0,365,김치,농업회사법인주식회사담채원
후레쉬 모짜렐라 치즈 / 냉동,8809117020206.0,730,치즈,(주)데어리젠
무생채,8809356100141.0,30,김치,농업회사법인(주)운림가
살라미스틱,8809013406494.0,90,소시지,에쓰푸드홀딩스 주식회사
훈제돈족,8809021759049.0,60,햄,(주)이푸드
매운 맛김치,8801024057405.0,45,김치,대상(주)횡성공장
은말이,8809022350115.0,11,어묵,(주)대광에프앤씨
장안양념왕족,8809354310085.0,30,육류,장안푸드
포기김치,8801047587095.0,28,김치,(주)동원F&B
꼬꼬롱다리,8809391190077.0,60,육류,참 프레시 미트
제주우유,8804434000023.0,18,우유,농업회사법인 주식회사 제주우유
대림선 볶음용어묵,8801066200340.0,13,어묵,(주)사조대림
백련초바베큐돼지막창,8809366354022.0,360,육류,에스티푸드
치악산금돈내츄럴핫바,8809373560232.0,40,소시지,돼지문화원
돼지고추장불고기,8809411051067.0,15,육류,주식회사 우보식품
부산어묵 백두장사,8801066301160.0,13,어묵,(주)사조대림
양념 소막창,8809413850019.0,180,육류,옛날막창
맛동이,8809183070129.0,15,어묵,해맑은 식품(주)
곰곰 소곱창,8809347801378.0,360,육류,농업회사법인 꿀맛나는세상 주식회사
로즈마리 닭가슴살,8809331500171.0,40,햄,주식회사 아워홈
담채원 열무김치,8809334527274.0,90,김치,농업회사법인주식회사담채원
알알이곤약,8808397021118.0,180,묵,(주)대신물산
깻잎김치,8809186721516.0,31,김치,태영식품
쫄깃한 약속 국탕용 종합,8801066150973.0,13,어묵,(주)사조대림
강릉심해두부,8809021040109.0,3,두부,(주)강릉심해두부
맛김치,8803601001191.0,60,김치,(주)한성식품서산지점
깻잎김치,8803104585839.0,90,김치,한국농협김치조합공동사업법인충북지사
한성돌산갓김치,8803601001511.0,28,김치,(주)한성식품서산지점
편육,8809245290236.0,60,육류,주식회사 정일품
돼지 양념 껍데기,8809411050282.0,15,육류,주식회사 우보식품
담채원 포기김치,8809334521005.0,365,김치,농업회사법인주식회사담채원
양념돼지껍데기,8809218460192.0,180,육류,(주)숲풀림식품
에이 클래스 우유,8801121105801.0,20,우유,매일유업(주)평택공장
사보래편육,8809344170033.0,30,햄,명일축산영농조합
호야 춘천닭갈비 조리용,8809321270442.0,365,육류,(주)정미푸드
포기김치,8805008111022.0,45,김치,(주)서농유통
이탈리안소시지,8809013406715.0,40,소시지,에쓰푸드홀딩스 주식회사
참향원 볏짚초벌삼겹살,8809357220275.0,20,육류,(주)엘리트
담채원 오이김치,8809334527601.0,60,김치,농업회사법인주식회사담채원
청정원치즈맛소시지,8801052201306.0,40,우유,대상델리하임 주식회사
유기농백김치,8809334529360.0,60,김치,농업회사법인주식회사담채원
편육,8809245290137.0,60,육류,주식회사 정일품
이착한베이컨,8809021759063.0,360,베이컨,(주)이푸드
슬림 통살 닭가슴살,8801492364432.0,365,육류,(주)하림
청양소시지,8809406030046.0,30,소시지,농업회사법인 킹스테이블(주)
아름찬고들빼기,8802052000289.0,28,김치,한국농협김치조합공동사업법인 전남지사
탄두리 닭가슴살,8809331504070.0,40,햄,주식회사 아워홈
소양념불고기,8809411050398.0,15,육류,주식회사 우보식품
M양념돈삼겹살구이,8809209777056.0,10,육류,민들레푸드(주)
매운맛 돼지갈비찜,8809408150049.0,180,육류,토리원
가오순두부,8809062330023.0,15,두부,합자회사가오연식품
담채원 겉절이,8809334527823.0,60,김치,농업회사법인주식회사담채원
돼지 양념 껍데기,8809411051203.0,15,육류,주식회사 우보식품
총각김치(알타리),8809417950098.0,30,김치,영농조합법인 성진
돼지 양념 껍데기,8809411051234.0,15,육류,주식회사 우보식품
매콤닭고기,8809062253018.0,5,육류,참마음식품
양념돼지껍데기,8809371500056.0,365,육류,코리아종합식품(주)가야지점
우리콩연두부,8803150200526.0,14,두부,농업회사법인 한그루 2공장(주)
꿀맛칼집,8809347801514.0,15,육류,농업회사법인 꿀맛나는세상 주식회사
씨제이 씨푸드 삼호부산어묵,8801242044492.0,0,어묵,씨제이 씨푸드 주식회사
페퍼베이컨,8809013402823.0,20,베이컨,에쓰푸드홀딩스 주식회사
국산 도토리묵,8803150200427.0,30,묵,농업회사법인 한그루 2공장(주)
킬바사,8809013406364.0,40,소시지,에쓰푸드홀딩스 주식회사
하루에한모수제두부,8809352640054.0,1,두부,다원푸드
